,name,invoice,營業地址,統一編號
180,締大興業股份有限公司,22166757,臺北市松山區南京東路５段１６３號１３樓之１,22166757
181,西華廣告有限公司,22452323,臺北市內湖區石潭里南京東路６段３４８號９樓之２,22452323
182,紡群股份有限公司,23094943,宜蘭縣宜蘭市中興里慈安路１２巷２號,23094943
183,倍強科技股份有限公司,23549000,桃園市龜山區楓樹里自強北路１７巷３１號,23549000
184,凌葳貿易有限公司,23881625,臺北市松山區民福里民族東路７３５號６樓,23881625
185,泰逸興業股份有限公司,23953155,新北市土城區承天路４３巷１０號,23953155
186,壹零零玖意念設計有限公司,24389234,臺中市西　區大忠里大忠南街６號１樓,24389234
187,來德國際服飾開發有限公司,27209559,高雄市三民區安發里懷安街３６號,27209559
188,紅室有限公司,27313011,臺北市士林區社新里社子街１１１號１樓,27313011
189,寶康伯思健康事業有限公司,28532886,嘉義縣朴子市安福里２３鄰四維路１段１號１樓,28532886
190,家事多有限公司,28733440,新北市中和區中原里永和路３３３巷１－６號,28733440
191,奈精科技有限公司,28794945,新北市新莊區中信里中信街５１巷４弄８號５樓,28794945
192,采頤企業有限公司,28856033,臺北市北投區中央里大業路３００巷３３號４樓,28856033
193,榮耀室內設計裝潢行,30240800,桃園市桃園區忠義里１２鄰成功路３段１１５巷８３弄２０之１號１樓,30240800
194,建伸企業有限公司,31288696,臺北市北投區明德路２３５號１樓,31288696
195,暘盛工業股份有限公司,35836478,桃園市桃園區中泰里宏昌八街１０３號１樓,35836478
196,宏林室內裝修設計工坊,45348580,新竹縣竹北市１０鄰嘉豐六路２段１１７號,45348580
197,錦江堂藝術圖書工作室,45410394,臺中市西　區公民里五廊街１２３巷１號２樓,45410394
198,日商京之華股份有限公司台灣分公司,53027632,臺北市信義區富台里忠孝東路５段２９７號６樓,53027632
199,御匠室內裝修有限公司,70506018,臺中市南屯區豐樂里文心南路２５６號１樓,70506018
200,漢藻文教事業有限公司,70575746,新北市板橋區富貴里三民路２段３７號９樓之１,70575746
201,巧峰企業有限公司(純植美殿美學莊園),70844094,臺北市文山區興隆路二段７１號,70844094
202,(日商MSK株式會社)阪神貿易股份有限公司,80085347,新北市板橋區流芳里東門街３０―２號１１樓之１,80085347
203,鉑京光電股份有限公司,80588447,新竹市香山區頂埔里牛埔路１７８號,80588447
204,利旗生活什錦有限公司,80667478,臺北市大同區建明里太原路２２巷６號地下．６號．６號２樓,80667478
205,名歐國際開發股份有限公司,84285677,臺北市大安區光武里復興南路１段１２７號７樓,84285677
206,平宏企業有限公司,84630381,臺中市西屯區福和里福安九街１１巷１７號１樓,84630381
207,新河科技股份有限公司,84750603,臺北市內湖區西康里內湖路１段７１號４樓,84750603
208,東亞大戲院股份有限公司,85148406,高雄市鳳山區興仁里立志街１６０號,85148406
209,威力特股份有限公司,86609665,臺中市大甲區庄美里大安港路２１３號,86609665
210,中原室內設計股份有限公司,86949117,桃園市中壢區東興里３２鄰中北路２段６９號１樓,86949117
211,泳進景觀興業有限公司,89241191,臺中市北屯區平和里安順東四街１１號,89241191
212,賝昀有限公司,89487429,臺北市松山區東勢里南京東路４段９３號７樓,89487429
213,杉坤企業有限公司,97384256,臺北市內湖區湖元里新湖二路１７０號４樓,97384256
214,來衛科技股份有限公司,12757986,桃園市桃園區中寧里大興西路２段６１號１６樓,12757986
215,阿波羅投資股份有限公司,12933626,臺北市南港區新富里研究院路一段１５１巷６號,12933626
216,宇紳企業有限公司,84079389,新北市蘆洲區中正路１８５巷２５弄５號５樓,84079389
217,萊富阿特國際企業有限公司,27837657,新竹市東　區東大路３段４３９巷２７－８號１樓,27837657
218,永富達建設有限公司,53522387,臺北市信義區嘉興里基隆路２段１１５號２樓之２,53522387
219,萊爾富竹州店_力熙商行,31787594,新竹縣芎林鄉永興村８鄰富林路１段５８２巷５號,31787594
